track_name,artist_name,ms_played,minutes_played
Prelude to a Kiss,Brad Mehldau,600533,10.01
A Nightingale Sang In Berkeley Square,Stan Getz,419626,6.99
Love For Sale,Cannonball Adderley,424639,7.08
Summertime,Charlie Parker,166133,2.77
Parker's Mood,Charlie Parker,183457,3.06
"You Upset Me, Baby",B.B. King,183147,3.05
Three O'clock Blues,B.B. King,180466,3.01
Guess Who,B.B. King,246133,4.10
Woke Up This Morning (My Baby She Was Gone),B.B. King,177381,2.96
B.B. Boogie,B.B. King,194933,3.25
When My Heart Beats Like a Hammer,Eric Clapton,429519,7.16
Paying The Cost To Be The Boss,B.B. King,213560,3.56
Everyday I Have the Blues,B.B. King,158400,2.64
Why I Sing The Blues,B.B. King,518025,8.63
Riding with the King,Eric Clapton,167368,2.79
Believe,Mumford & Sons,199833,3.33
Girl from the North Country,Bob Dylan,222266,3.70
Ring of Fire,Johnny Cash,155706,2.60
Love For Sale,Miles Davis,314383,5.24
The Weight - Remastered,The Band,278626,4.64
Wouldn't It Be Nice - Remastered 1999,The Beach Boys,145106,2.42
Rolling and Tumbling,Champion Jack Dupree,168716,2.81
Couldn't Stand the Weather,Stevie Ray Vaughan,281253,4.69
"Voodoo Child (Slight Return) - Live at The Spectrum, Montreal; August 17 1984 (Late Show)",Stevie Ray Vaughan,169273,2.82
When Your Lover Has Gone,Ben Webster & Oscar Peterson,239653,3.99
From Gagarin's Point of View,Esbjörn Svensson Trio,145124,2.42
Welcome To The Jungle,Guns N' Roses,273600,4.56
On Your Knees,W.A.S.P.,188220,3.14
The Way It Is,Tesla,182880,3.05
Walkin Man,Seasick Steve,164680,2.74
Nature Boy,Leif Shires,212973,3.55
It Had To Be You - 2009 Remaster,Frank Sinatra,234666,3.91
The Way You Look Tonight - 2008 Remastered,Frank Sinatra,202280,3.37
Drag Me Down,One Direction,149944,2.50
You Can't Always Get What You Want,The Rolling Stones,141429,2.36
Jailhouse Rock,Elvis Presley,155333,2.59
The Way You Look Tonight,Frank Sinatra,201200,3.35
Put Your Dreams Away - Remastered,Frank Sinatra,191146,3.19
My Kind Of Town,Frank Sinatra,189093,3.15
Young At Heart,Frank Sinatra,169346,2.82
What A Wonderful World - Single Version,Louis Armstrong,131285,2.19
La Vie En Rose - Single Version,Louis Armstrong,176636,2.94
Little Wing,Stevie Ray Vaughan,231595,3.86
Lucille,B.B. King,544678,9.08
Citadel,The Rolling Stones,156742,2.61
Summer Wind,Frank Sinatra,174840,2.91
All or Nothing at All (with Harry James & His Orchestra),Frank Sinatra,140341,2.34
Put Your Dreams Away - Remastered,Frank Sinatra,153530,2.56
Strangers In The Night,Frank Sinatra,156240,2.60
"Theme From New York, New York",Frank Sinatra,204146,3.40
Witchcraft,Frank Sinatra,120975,2.02
That's Life,Frank Sinatra,186133,3.10
The Way You Look Tonight,Frank Sinatra,201200,3.35
Nancy (With The Laughing Face),Frank Sinatra,191306,3.19
Paradise City,Guns N' Roses,349553,5.83
I Can't Quit You Baby - 1990 Remaster,Led Zeppelin,183159,3.05
Yesterday - Rehearsal,Elvis Presley,165040,2.75
Johnny B. Goode - Live,Elvis Presley,123901,2.07
Burning Love - Alternate Take,Elvis Presley,148282,2.47
Crazy Little Thing Called Love,Queen,137406,2.29
Let's Dance - 1999 Remaster,David Bowie,216106,3.60
Jealous Guy - Remastered 2010,John Lennon,226766,3.78
Everyday I Have the Blues,B.B. King,158400,2.64
Why I Sing the Blues,B.B. King,516733,8.61
Caldonia,B.B. King,202793,3.38
Don't Answer the Door,B.B. King,308973,5.15
I Like to Live the Love,B.B. King,196626,3.28
Never Trust a Woman,B.B. King,143592,2.39
Paradise City,Guns N' Roses,142037,2.37
The Way You Look Tonight,Frank Sinatra,201200,3.35
That's Life,Frank Sinatra,186133,3.10
Work Song,Hozier,229715,3.83
In A Week,Hozier,318493,5.31
Take Me To Church,Hozier,241688,4.03
My Love Will Never Die,Hozier,235230,3.92
In The Woods Somewhere,Hozier,331400,5.52
To Be Alone,Hozier,323639,5.39
From Eden,Hozier,283466,4.72
Sedated,Hozier,207669,3.46
Cherry Wine - Live,Hozier,240147,4.00
It Will Come Back,Hozier,277655,4.63
Foreigner's God,Hozier,225215,3.75
Arsonist's Lullabye,Hozier,266611,4.44
Yes I'm Changing,Tame Impala,270680,4.51
1998 (feat. Banks),Chet Faker,183019,3.05
At Last - Single Version,Etta James,176015,2.93
Renegades,X Ambassadors,195199,3.25
T-Shirt Weather,Circa Waves,194288,3.24
Mercy,Muse,231973,3.87
Cold Feet Killer,My Goodness,220880,3.68
Let's Ride,Ash,122508,2.04
Locked Away (feat. Adam Levine),R. City,157302,2.62
Jealous - Bakermat Remix,Labrinth,250960,4.18
My Best Friend's Girl,The Cars,223253,3.72
Stole the Show,Kygo,222801,3.71
Sugar - Remix,Maroon 5,235479,3.92
Time,Jungle,134588,2.24
Take Me To Church,Hozier,241688,4.03
Arsonist's Lullabye,Hozier,266611,4.44
From Eden,Hozier,283466,4.72
Radio,Lana Del Rey,174846,2.91
Flight Of The Crow,"Passenger feat. Josh Pyke, Lior, Katie Noonan, Boy & Bear and Jess Chalker",219920,3.67
Sedated,Hozier,207669,3.46
The Fear,Ben Howard,260342,4.34
Haunt - Demo,Bastille,173973,2.90
American,Lana Del Rey,248907,4.15
King And Lionheart,Of Monsters and Men,273853,4.56
Storms,Tom Odell,188093,3.13
Jackie And Wilson,Hozier,223120,3.72
Cruel World,Lana Del Rey,399013,6.65
Haunt - Demo,Bastille,173973,2.90
Take Me To Church,Hozier,241688,4.03
Oats In The Water,Ben Howard,299381,4.99
A Thousand Matches,Passenger,225948,3.77
Flaws,Bastille,218800,3.65
Please Don't Say You Love Me,Gabrielle Aplin,181400,3.02
Sedated,Hozier,207669,3.46
Staying Up,The Neighbourhood,268173,4.47
Barton Hollow,The Civil Wars,205773,3.43
Mi Corrido,Julión Álvarez y su Norteño Banda,143613,2.39
El Karma,Ariel Camacho y Los Plebes Del Rancho,195136,3.25
Can't Feel My Face,The Weeknd,210240,3.50
Loft Music,The Weeknd,286715,4.78
